sequenceIndex,key,timestamp
62,0,1731976194140.5
62,2,1731976194396.5
62,8,1731976194836.5
62,0,1731976195148.5
63,6,1731976196316.5
63,3,1731976196572.5
63,8,1731976196932.5
63,4,1731976197484.5
63,2,1731976197764.5
64,4,1731976198844.5
64,5,1731976199068.5
64,2,1731976199325.5
64,6,1731976199908.5
64,8,1731976200492.5
65,0,1731976201428.5
65,5,1731976201844.5
65,9,1731976202132.5
65,3,1731976202908.5
65,9,1731976203164.5
66,4,1731976204204.5
66,5,1731976204420.5
66,9,1731976204716.5
66,8,1731976205268.5
66,6,1731976205508.5
67,8,1731976206540.5
67,1,1731976206804.5
67,8,1731976207036.5
67,0,1731976207460.5
67,7,1731976207772.5
68,1,1731976208964.5
68,9,1731976209204.5
68,4,1731976209460.5
68,9,1731976210020.5
68,0,1731976210332.5
69,5,1731976211356.5
69,0,1731976211644.5
69,6,1731976211900.5
69,4,1731976212396.5
69,3,1731976212652.5
70,9,1731976213580.5
70,1,1731976213852.5
70,8,1731976214092.5
70,7,1731976214612.5
70,1,1731976214900.5
71,6,1731976216124.5
71,1,1731976216356.5
71,7,1731976216636.5
71,1,1731976217188.5
71,2,1731976217372.5
72,7,1731976218548.5
72,2,1731976218836.5
72,6,1731976219148.5
72,9,1731976219852.5
72,7,1731976220092.5
73,9,1731976221316.5
73,0,1731976221620.5
73,3,1731976221891.5
73,7,1731976222548.5
73,3,1731976222980.5
74,7,1731976224131.5
74,3,1731976224523.5
74,8,1731976225339.5
74,5,1731976226195.5
74,9,1731976226451.5
75,2,1731976227427.5
75,4,1731976227691.5
75,5,1731976227955.5
75,0,1731976228363.5
75,1,1731976228675.5
76,3,1731976229596.5
76,5,1731976229891.5
76,7,1731976230131.5
76,8,1731976230764.5
76,0,1731976231044.5
77,9,1731976232076.5
77,7,1731976232388.5
77,6,1731976232764.5
77,2,1731976233276.5
77,4,1731976233516.5
78,5,1731976234524.5
78,4,1731976234772.5
78,5,1731976235084.5
78,6,1731976235532.5
78,1,1731976235756.5
79,4,1731976236980.5
79,7,1731976237260.5
79,2,1731976237564.5
79,0,1731976238052.5
79,3,1731976238244.5
80,6,1731976239348.5
80,1,1731976239564.5
80,2,1731976239812.5
80,6,1731976240724.5
80,2,1731976241132.5
81,4,1731976242203.5
81,8,1731976242419.5
81,9,1731976242707.5
81,0,1731976243156.5
81,7,1731976243507.5
82,1,1731976244459.5
82,5,1731976244683.5
82,1,1731976245011.5
82,6,1731976245723.5
82,8,1731976245995.5
83,9,1731976247107.5
83,5,1731976247427.5
83,9,1731976247771.5
83,6,1731976248187.5
83,0,1731976248579.5
84,7,1731976249851.5
84,3,1731976250219.5
84,6,1731976250579.5
84,5,1731976251012.5
84,0,1731976251307.5
85,7,1731976252419.5
85,5,1731976252723.5
85,6,1731976253035.5
85,1,1731976253387.5
85,3,1731976253659.5
86,8,1731976254787.5
86,2,1731976255163.5
86,6,1731976255963.5
86,7,1731976256779.5
86,9,1731976257043.5
87,5,1731976258067.5
87,4,1731976258323.5
87,2,1731976258651.5
87,0,1731976259035.5
87,2,1731976259307.5
88,4,1731976260339.5
88,1,1731976260627.5
88,2,1731976261115.5
88,5,1731976261715.5
88,6,1731976261963.5
89,0,1731976262947.5
89,8,1731976263307.5
89,2,1731976263651.5
89,1,1731976263963.5
89,7,1731976264259.5
90,2,1731976265163.5
90,4,1731976265451.5
90,3,1731976265747.5
90,4,1731976266323.5
90,8,1731976266515.5
91,5,1731976267691.5
91,7,1731976267947.5
91,9,1731976268243.5
91,6,1731976269107.5
91,9,1731976269347.5
92,3,1731976270251.5
92,1,1731976270515.5
92,2,1731976270779.5
92,3,1731976271203.5
92,8,1731976271491.5
93,7,1731976272443.5
93,5,1731976272699.5
93,0,1731976272995.5
93,8,1731976273459.5
93,5,1731976273771.5
94,9,1731976274803.5
94,2,1731976275107.5
94,9,1731976275563.5
94,4,1731976276130.5
94,9,1731976276403.5
95,7,1731976277363.5
95,0,1731976277699.5
95,1,1731976278010.5
95,7,1731976278490.5
95,3,1731976278939.5
96,4,1731976280050.5
96,6,1731976280378.5
96,3,1731976280762.5
96,4,1731976281315.5
96,0,1731976281594.5
97,4,1731976282626.5
97,8,1731976282882.5
97,4,1731976283218.5
97,1,1731976283610.5
97,3,1731976283858.5
98,8,1731976285066.5
98,3,1731976285330.5
98,7,1731976285634.5
98,1,1731976286146.5
98,3,1731976286378.5
99,2,1731976287338.5
99,8,1731976287578.5
99,0,1731976287954.5
99,9,1731976288250.5
99,0,1731976288546.5
100,5,1731976289530.5
100,0,1731976289810.5
100,6,1731976290098.5
100,0,1731976290770.5
100,2,1731976290978.5
101,0,1731976291986.5
101,2,1731976292218.5
101,5,1731976292466.5
101,2,1731976292978.5
101,9,1731976293250.5
102,8,1731976294282.5
102,0,1731976294673.5
102,7,1731976294993.5
102,3,1731976295570.5
102,8,1731976295945.5
103,5,1731976297017.5
103,7,1731976297305.5
103,5,1731976297609.5
103,9,1731976298041.5
103,8,1731976298297.5
104,5,1731976299649.5
104,3,1731976299929.5
104,6,1731976300265.5
104,8,1731976300985.5
104,6,1731976301241.5
105,7,1731976302282.5
105,6,1731976302785.5
105,3,1731976303081.5
105,2,1731976303521.5
105,7,1731976303825.5
